Designator,Mid X,Mid Y,Rotation,Layer
C0,101.4325,-54.0,0.0,top
C1,99.4325,-55.48,0.0,top
C10,96.0,-75.5675,270.0,top
C11,95.0,-74.5675,270.0,top
C12,101.4325,-43.33,180.0,top
C13,99.0,-43.33,0.0,top
C14,85.4325,-73.0,0.0,top
C15,84.4325,-79.0,180.0,top
C16,85.9225,-51.585,90.0,top
C2,98.4325,-57.48,0.0,top
C3,97.0,-60.5675,90.0,top
C4,99.0,-62.5675,90.0,top
C5,100.0,-63.5675,90.0,top
C6,98.0,-61.5675,90.0,top
C7,93.0,-76.0675,270.0,top
C8,94.0,-75.4325,270.0,top
C9,97.0,-74.5675,270.0,top
D1,104.25,-75.125,180.0,top
D2,101.475,-41.2325,0.0,top
H1,106.0,-91.0,0.0,top
H2,81.0,-91.0,0.0,top
H3,106.5,-38.0,0.0,top
H4,81.5,-38.0,0.0,top
J1,92.5,-39.0,180.0,top
J2,95.19,-92.0,270.0,top
J4,76.0,-66.05,0.0,top
J5,111.0,-66.05,0.0,top
J6,92.46,-85.0,270.0,top
R1,95.82,-45.5475,90.0,top
R10,104.5,-43.2325,0.0,top
R12,91.92,-89.0,0.0,top
R13,94.92,-89.0,180.0,top
R2,90.82,-45.5475,270.0,top
R3,95.0,-60.0,270.0,top
R4,93.0,-58.0,270.0,top
R5,88.4025,-79.0,0.0,top
R6,90.195,-50.7975,180.0,top
R7,84.2025,-58.47,0.0,top
R8,99.0,-72.0,270.0,top
R9,100.0,-80.5,180.0,top
SW1,82.83,-55.67,180.0,top
SW2,100.0,-84.1,90.0,top
U1,94.2,-67.8,90.0,top
U2,101.7,-48.48,90.0,top
U3,89.3775,-56.19,180.0,top
Y1,86.55,-76.15,0.0,top
